"ConceptScheme URI",https://w3id.org/formater/variable/
PREFIX,ft,https://w3id.org/formater/variable/

"Ce fichier est utilisé pour enrichir le thésaurus des mots scientifiques du gcmd"

"La traduction du label et de la définition de chaque concept serait un + (les colonnes skos:prefLabel@fr et skos:definition@fr)"
"la colonne skos:exactMatch est utilisé pour créer un lien avec les concepts d'autres thésaurus"
"   - l'URI du terme correspondant du gcmd s'y trouve déjà"
"   - pour ajouter des concepts correspondants d'autres thésaurus, il faut séparer les URI par des virgules "","""

"Les identifiants de chaque concept ont été générés automatiquement et seront modifiés ultérieurement"
" Ils ne doivent pas être modifiés car ils sont utilisés pour créer des liens entre concepts"


URI,skos:prefLabel@en,skos:prefLabel@fr,skos:definition@en,skos:definition@fr,skos:narrower,skos:broader,skos:related,skos:exactMatch
ft:geomorphic-tectonic_landforms-geyser,Geyser,,"A spring characterized by intermittent discharge of water ejected turbulently and accompanied by a vapour phase (steam).",,ft:geomorphic-tectonic_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/ea580c65-2f66-4745-bbb6-dde61279ecfa
ft:geomorphic-tectonic_landforms-plateau,Plateau,,"An area of highland, usually consisting of relatively flat terrain. A highly eroded plateau is called a dissected plateau. A volcanic plateau is a plateau produced by volcanic activity.",,ft:geomorphic-tectonic_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/0baf564f-f942-4aeb-9b75-30b838f28f3f
ft:geomorphic-tectonic_landforms-mountains,Mountains,,"A large landform  that stretches above the surrounding land in a limited area usually in the form of a peak. A mountain is generally steeper than a hill. The adjective montane is used to describe mountainous areas and things associated with them.",,ft:geomorphic-tectonic_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/c34ea556-10bd-4665-9f22-68b5d05c9aea
ft:geomorphic-tectonic_landforms-ridge,Ridge,,"A geological feature that features a chain of mountains or hills that are of a continuous elevated crest for some distance. Ridges are usually termed hills or mountains as well, depending on size.",,ft:geomorphic-tectonic_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/ca091be1-4762-49ec-859b-a1a2fcb8e038
ft:geomorphic-tectonic_landforms-rift_valley,"Rift valley",,"A linear-shaped lowland between highlands or mountain ranges created by the action of a geologic rift or fault. This action is manifest as crustal extension, a spreading apart of the surface which is subsequently further deepened by the forces of erosion.",,ft:geomorphic-tectonic_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/0bd4d492-4911-4a6a-afaa-34899a80294b
ft:geomorphic-aeolian_landforms,"Aeolian landforms",,"Landforms created by the processes of wind erosion or deposition of wind
weathered surface materials. These include landforms with some of the following
geomorphic features: sand dunes, deflation hollows, and desert pavement.
Alternative spelling ""aeolian landforms.""     
",,ft:geomorphic,"ft:geomorphic-aeolian_landforms-dunes, ft:geomorphic-aeolian_landforms-ripples",,https://gcmdservices.gsfc.nasa.gov/kms/concept/26637389-f4f6-47a0-9c3d-17e93ab99dea
ft:geomorphic-aeolian_landforms-dunes,Dunes,,"A hill of sand built by aeolian processes. Dunes occur in different forms and sizes, formed by interaction with the wind. Most kinds of dunes are longer on the windward side where the sand is pushed up the dune and have a shorter ""slip face"" in the lee of the wind.",,ft:geomorphic-aeolian_landforms,"ft:geomorphic-aeolian_landforms-dunes-crescentic_(barchan-transverse)_dune, ft:geomorphic-aeolian_landforms-dunes-longitudinal-linear_dune, ft:geomorphic-aeolian_landforms-dunes-star_dune, ft:geomorphic-aeolian_landforms-dunes-dome_dune, ft:geomorphic-aeolian_landforms-dunes-parabolic_dune",,https://gcmdservices.gsfc.nasa.gov/kms/concept/e43473a1-4392-48e3-9e56-8a4dcad8d7a2
ft:geomorphic-aeolian_landforms-dunes-crescentic_(barchan-transverse)_dune,"Crescentic (barchan/transverse) dune",,"""Crescent-shaped mounds are generally wider than they are long. The slipfaces are on the concave sides of the dunes. These dunes form under winds that blow consistently from one direction, and they also are known as barchans, or transverse dunes.",,ft:geomorphic-aeolian_landforms-dunes,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/5c80c047-c02e-4c15-83ac-26b8b1a8f114
ft:geomorphic-aeolian_landforms-dunes-longitudinal-linear_dune,"Longitudinal/linear dune",,"Elongate parallel to the prevailing wind, possibly caused by a larger dune having its smaller sides blown away. Seif dunes are sharp-crested and are common in the Sahara. They range up to 300 m (980 ft) in height and 300 km (190 mi) in length.",,ft:geomorphic-aeolian_landforms-dunes,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/db2d6cfb-70c3-4568-99a0-a25b3c3879dd
ft:geomorphic-aeolian_landforms-dunes-star_dune,"Star dune",,"Radially symmetrical, star dunes are pyramidal sand mounds with slipfaces on three or more arms that radiate from the high center of the mound. They tend to accumulate in areas with multidirectional wind regimes. Star dunes grow upward rather than laterally. They dominate the Grand Erg Oriental of the Sahara. In other deserts, they occur around the margins of the sand seas, particularly near topographic barriers. In the southeast Badain Jaran Desert of China, the star dunes are up to 500 metres tall and may be the tallest dunes on Earth.",,ft:geomorphic-aeolian_landforms-dunes,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/ce087840-ec71-4575-bca9-e807151cc376
ft:geomorphic-aeolian_landforms-dunes-dome_dune,"Dome dune",,"Oval or circular mounds that generally lack a slipface, dome dunes are rare, and these occur at the far upwind margins of sand seas.",,ft:geomorphic-aeolian_landforms-dunes,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/d5ff7545-0eec-4cad-90a5-019e03cdac47
ft:geomorphic-aeolian_landforms-dunes-parabolic_dune,"Parabolic dune",,"U-shaped mounds of sand with convex noses trailed by elongated arms are parabolic dunes. Sometimes these dunes are called U-shaped, blowout, or hairpin dunes, and they are well known in coastal deserts. Unlike crescent shaped dunes, their crests point upwind. The elongated arms of parabolic dunes follow rather than lead because they have been fixed by vegetation, while the bulk of the sand in the dune migrates forward.",,ft:geomorphic-aeolian_landforms-dunes,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/4cce9a44-da57-4169-b89f-6b1460fcedb9
ft:geomorphic-aeolian_landforms-ripples,Ripples,,"Sedimentary structures (i.e. bedforms of the lower flow regime) and indicate agitation by water (current or waves) or wind.",,ft:geomorphic-aeolian_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/cae41424-161f-4378-a1a4-62cd76c61143
ft:geomorphic-fluvial_landforms,"Fluvial landforms",,"""Fluvial landforms"" are features on the Earth's surface produced by the action,
i.e. erosion and deposition, of a stream or river and include such landforms as
bars, levees, braided and meandering channels, and alluvial fans.  ""Fluvial
processes"" are those processes included in the action of running water in a
stream or river 
",,ft:geomorphic,"ft:geomorphic-fluvial_landforms-ait, ft:geomorphic-fluvial_landforms-watershed-drainage_basins, ft:geomorphic-fluvial_landforms-bar, ft:geomorphic-fluvial_landforms-bayou, ft:geomorphic-fluvial_landforms-confluence, ft:geomorphic-fluvial_landforms-cutbank, ft:geomorphic-fluvial_landforms-deltas, ft:geomorphic-fluvial_landforms-endorheric_basin, ft:geomorphic-fluvial_landforms-flood_plain, ft:geomorphic-fluvial_landforms-canyon, ft:geomorphic-fluvial_landforms-island, ft:geomorphic-fluvial_landforms-gully, ft:geomorphic-fluvial_landforms-lacustrine_plain, ft:geomorphic-fluvial_landforms-marsh, ft:geomorphic-fluvial_landforms-meander, ft:geomorphic-fluvial_landforms-ox-bow_lake, ft:geomorphic-fluvial_landforms-pingo, ft:geomorphic-fluvial_landforms-point_bar, ft:geomorphic-fluvial_landforms-pond, ft:geomorphic-fluvial_landforms-riffle, ft:geomorphic-fluvial_landforms-river, ft:geomorphic-fluvial_landforms-spring, ft:geomorphic-fluvial_landforms-stream, ft:geomorphic-fluvial_landforms-stream_terrace, ft:geomorphic-fluvial_landforms-swamp, ft:geomorphic-fluvial_landforms-valley, ft:geomorphic-fluvial_landforms-waterfall",,https://gcmdservices.gsfc.nasa.gov/kms/concept/cb5193ab-2d7a-4b35-b7ec-f16ce78ae270
ft:geomorphic-fluvial_landforms-ait,Ait,,"A small island. It is especially used to refer to islands found on the River Thames and its tributaries in England.",,ft:geomorphic-fluvial_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/d8b04023-b9c4-42bc-a986-ab6c4f32ba28
ft:geomorphic-fluvial_landforms-watershed-drainage_basins,"Watershed/drainage basins",,"An area or ridge of land that separates waters flowing to different rivers, basins, or seas.",,ft:geomorphic-fluvial_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/97a71326-75ac-422f-941e-c0c2897dd46b
ft:geomorphic-fluvial_landforms-bar,Bar,,"A linear  shoaling landform feature within a body of water. Bars tend to be long and narrow (linear) and develop where a current (or waves) promote deposition of particles, resulting in localized shallowing (shoaling) of the water.",,ft:geomorphic-fluvial_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/6c061296-2c92-4aa4-b9d1-6ecf0efde876
ft:geomorphic-fluvial_landforms-bayou,Bayou,,"A body of water typically found in flat, low-lying areas, and can refer either to an extremely slow-moving stream or river (often with a poorly defined shoreline), or to a marshy lake or wetland.",,ft:geomorphic-fluvial_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/244bd4be-a3d2-4c02-b576-ae9f2f9e544f
ft:geomorphic-fluvial_landforms-confluence,Confluence,,"The merger or meeting of two or more objects (or subjects) that seem to inseparably bind their respective forces or attributes into a point of junction.",,ft:geomorphic-fluvial_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/cbd9ee43-24f8-45ab-a39b-2ff34be81c51
ft:geomorphic-fluvial_landforms-cutbank,Cutbank,,"Also known as a river cliff, is an erosional feature of streams. Cut banks are found in abundance along mature or meandering streams, they are located on the outside of a stream bend, known as a meander.",,ft:geomorphic-fluvial_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/8dcff6c3-a6b3-479e-96e2-63191d10ac2d
ft:geomorphic-fluvial_landforms-deltas,Deltas,,"Land built up by deposits of sand and silt at the mouth of some rivers.",,ft:geomorphic-fluvial_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/ad535c83-3b93-4632-8aaa-7dfba8bb125a
ft:geomorphic-fluvial_landforms-endorheric_basin,"Endorheric basin",,"A closed drainage basin that retains water and allows no outflow to other bodies of water such as rivers or oceans.",,ft:geomorphic-fluvial_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/4a2a2f6d-9735-4bee-9d1a-21dcd0352c6b
ft:geomorphic-fluvial_landforms-flood_plain,"Flood plain",,"Flat or nearly flat land adjacent to a stream or river that experiences occasional or periodic flooding.",,ft:geomorphic-fluvial_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/d71f94cb-e773-487a-a8ff-9c5f11c1dbc4
ft:geomorphic-fluvial_landforms-canyon,Canyon,,"A narrow valley with steep sides; usually created by erosion.",,ft:geomorphic-fluvial_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/e25ce36c-eacd-447a-9d73-ccc8a7e3a328
ft:geomorphic-fluvial_landforms-island,Island,,"Piece of sub-continental land that is surrounded by water. Very small islands such as emergent land features on atolls can be called islets, cays or keys.",,ft:geomorphic-fluvial_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/74caea9b-6023-438b-af3d-bb9d948036f1
ft:geomorphic-fluvial_landforms-gully,Gully,,"A landform created by running water eroding sharply into soil, typically on a hillside.",,ft:geomorphic-fluvial_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/2f8ad9b0-adb8-4022-8c95-bca68e7a87a5
ft:geomorphic-fluvial_landforms-lacustrine_plain,"Lacustrine plain",,"Lakes that get filled by incoming sediment. Overtime, the water may drain from the lake, leaving the deposited sediments behind. This can be caused by natural drainage, evaporation or other geophysical processes.",,ft:geomorphic-fluvial_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/588d868d-05a4-4dac-9fb3-770b54ce39e5
ft:geomorphic-fluvial_landforms-marsh,Marsh,,"Type of wetland, featuring grasses, rushes, reeds, typhas, sedges, and other herbaceous plants (possibly with low-growing woody plants) in a context of shallow water.",,ft:geomorphic-fluvial_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/88adcca6-2bc8-443a-9f25-c9aded577615
ft:geomorphic-fluvial_landforms-meander,Meander,,"A bend in a river, also known as an oxbow loop. This usage derives from the name of the Maeander River in Turkey.",,ft:geomorphic-fluvial_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/c6f77e54-069e-454f-8260-e150bc29547a
ft:geomorphic-fluvial_landforms-ox-bow_lake,"Ox-bow lake",,"A u-shaped body of water formed when a wide meander from the main stem of a river is cut off to create a lake.",,ft:geomorphic-fluvial_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/12233807-f6cd-410d-b607-ecbfbd545464
ft:geomorphic-fluvial_landforms-pingo,Pingo,,"A mound of earth-covered ice found in the Arctic and subarctic that can reach up to 70 metres (230 ft) in height and up to 600 m (2,000 ft) in diameter. The term originated as the Inuvialuktun word for a small hill. A pingo is a periglacial landform, which is defined as a nonglacial landform or process linked to colder climates. Periglacial suggests an environment located on the margin of past glaciers. However, freeze and thaw cycles influence landscapes outside areas of past glaciation. Therefore, periglacial environments are anywhere freezing and thawing modify the landscape in a significant manner",,ft:geomorphic-fluvial_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/4a0c46ff-2d07-442d-b141-6156d9ea4a2e
ft:geomorphic-fluvial_landforms-point_bar,"Point bar",,"A depositional feature of streams. Point bars are found in abundance in mature or meandering streams.",,ft:geomorphic-fluvial_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/dd0de414-6663-4280-94cf-bda7fea736cc
ft:geomorphic-fluvial_landforms-pond,Pond,,"A body of standing water, either natural or man-made, that is usually smaller than a lake. They may arise naturally in floodplains as part of a river system, or they may be somewhat isolated depressions.",,ft:geomorphic-fluvial_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/5f292d99-b14a-4f18-bbe0-8025d04cae50
ft:geomorphic-fluvial_landforms-riffle,Riffle,,"A shallow stretch of a river or stream, where the current is above the average stream velocity and where the water forms small rippled waves as a result.",,ft:geomorphic-fluvial_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/5df6e78f-6dd4-4fc8-a88e-9e575dbca2eb
ft:geomorphic-fluvial_landforms-river,River,,"A long narrow channel of water that flows as a function of gravity and elevation across the Earth's surface. Many rivers empty into lakes, seas, or oceans.",,ft:geomorphic-fluvial_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/bb6b3b76-c496-464b-bd20-1b22296aae15
ft:geomorphic-fluvial_landforms-spring,Spring,,"A natural flow of water from the sub-surface to the surface. Usually occurs when the water table intersects the Earth's surface.",,ft:geomorphic-fluvial_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/b498a5cb-f77d-4485-8174-81dec28cee0e
ft:geomorphic-fluvial_landforms-stream,Stream,,"A long narrow channel of water that flows as a function of gravity and elevation across the Earth's surface. Many streams empty into lakes, seas or oceans.",,ft:geomorphic-fluvial_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/1d2d0777-b47e-45ee-ac85-2d7b9f6e4ffd
ft:geomorphic-fluvial_landforms-stream_terrace,"Stream terrace",,"Also known as fluvial terraces are elongated terraces that flank the sides of floodplains and fluvial valleys all over the world. They consist of a relatively level strip of land, called a “tread,” separated from either an adjacent floodplain, other fluvial terraces, or uplands by distinctly steeper strips of land called “risers.” These terraces lie parallel to and above the river channel and its floodplain. Because of the manner in which they form, fluvial terraces are underlain by fluvial sediments of highly variable thickness.",,ft:geomorphic-fluvial_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/74ce5e8a-038a-471e-a27a-be5b1f17b72f
ft:geomorphic-fluvial_landforms-swamp,Swamp,,"An area of land that is always soaked with water; low, wet land that supports grass and trees.",,ft:geomorphic-fluvial_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/4811065d-7aed-45e0-ac31-6417123be10e
ft:geomorphic-fluvial_landforms-valley,Valley,,"Low land between hills or mountains.",,ft:geomorphic-fluvial_landforms,ft:geomorphic-fluvial_landforms-valley-v_shapped_valley,,https://gcmdservices.gsfc.nasa.gov/kms/concept/87b01c3a-f64f-4764-8cb8-c40ebcd5a989
ft:geomorphic-fluvial_landforms-valley-v_shapped_valley,"V shapped valley",,"A valley having a cross-sectional profile in the form of the letter V, commonly produced by stream erosion.",,ft:geomorphic-fluvial_landforms-valley,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/fdb4c687-916e-48ec-858e-6009cc763de3
ft:geomorphic-fluvial_landforms-waterfall,Waterfall,,"A place where running water makes a sheer drop, usually over a cliff.",,ft:geomorphic-fluvial_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/948dea97-9843-4895-b59b-cb55f07a41b4
ft:geomorphic-glacial_landforms,"Glacial landforms",,"""Glacial landforms"" are landforms derived from the erosion and deposition
caused by glaciers and ice sheets, associated meltwater, and the Earth's
rheological response.  Such landforms include drumlins, moraines, cirques,
fjords, etc.  ""Glacial processes"" include deposition of sediments and erosion
of the Earth's surface by grinding, scouring, and polishing effected by the
movement of glacier ice armed with rock fragments frozen into it, together with
the erosive action of meltwater streams.
",,ft:geomorphic,"ft:geomorphic-glacial_landforms-aretes, ft:geomorphic-glacial_landforms-cirques-combes, ft:geomorphic-glacial_landforms-crevasses, ft:geomorphic-glacial_landforms-drumlins, ft:geomorphic-glacial_landforms-eskers, ft:geomorphic-glacial_landforms-fjords, ft:geomorphic-glacial_landforms-glacial_horns, ft:geomorphic-glacial_landforms-glacier-ice_caves, ft:geomorphic-glacial_landforms-glacier-hanging-u-shaped_valleys, ft:geomorphic-glacial_landforms-glacier_striations-grooves, ft:geomorphic-glacial_landforms-ice-dammed_lakes, ft:geomorphic-glacial_landforms-kames, ft:geomorphic-glacial_landforms-kame_delta, ft:geomorphic-glacial_landforms-kettle_holes, ft:geomorphic-glacial_landforms-moraines, ft:geomorphic-glacial_landforms-nunataks, ft:geomorphic-glacial_landforms-outwash_fans-plains, ft:geomorphic-glacial_landforms-roche_mountonnees-sheepback, ft:geomorphic-glacial_landforms-rock_glaciers, ft:geomorphic-glacial_landforms-till_plains",,https://gcmdservices.gsfc.nasa.gov/kms/concept/3c78951a-0293-4fb0-baff-ec7372fe784d
ft:geomorphic-glacial_landforms-aretes,Aretes,,"An arete is a thin, almost knife-like, ridge of rock which is typically formed when two glaciers erode parallel U-shaped valleys. The arête is a thin ridge of rock that is left separating the two valleys.",,ft:geomorphic-glacial_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/8e73bff6-c2f9-46a6-963b-8ef09dd7f5f3
ft:geomorphic-glacial_landforms-cirques-combes,Cirques/combes,,"Glacially eroded rock basin found on mountains. Most alpine glaciers originate from a cirque.",,ft:geomorphic-glacial_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/ae3b0c3d-35a1-4c94-ba72-ffe1a641902e
ft:geomorphic-glacial_landforms-crevasses,Crevasses,,"A crack in an ice sheet or glacier (compare to crevice, which is in rock). Crevasses often have vertical or near-vertical walls, which can then melt and create seracs, arches, etc.; these walls sometimes expose layers that represent the glacier's stratigraphy.",,ft:geomorphic-glacial_landforms,"ft:geomorphic-glacial_landforms-crevasses-transverse_crevasses, ft:geomorphic-glacial_landforms-crevasses-marginal_crevasses, ft:geomorphic-glacial_landforms-crevasses-longitudinal_crevasses",,https://gcmdservices.gsfc.nasa.gov/kms/concept/e0d85cf0-b477-47df-a067-18e28a3e228f
ft:geomorphic-glacial_landforms-crevasses-transverse_crevasses,"Transverse crevasses",,"Are transverse to flow, as a glacier accelerates where the slope steepens.",,ft:geomorphic-glacial_landforms-crevasses,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/45101ace-ce83-4b56-bea6-c4eca9c693dd
ft:geomorphic-glacial_landforms-crevasses-marginal_crevasses,"Marginal crevasses",,"Crevasses that form from the edge of the glacier, due to the reduction in speed caused by friction of the valley walls.",,ft:geomorphic-glacial_landforms-crevasses,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/bc803dca-2fdb-4dc0-bf02-f0b9399d6816
ft:geomorphic-glacial_landforms-crevasses-longitudinal_crevasses,"Longitudinal crevasses",,"Crevasses that form semi-parallel to flow where a glacier expands laterally.",,ft:geomorphic-glacial_landforms-crevasses,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/429d0eba-2689-4674-9a8a-d88c4058b1bf
ft:geomorphic-glacial_landforms-drumlins,Drumlins,,"An elongated whale-shaped hill formed by glacial ice acting on underlying unconsolidated till or ground moraine.",,ft:geomorphic-glacial_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/4be9b544-68fa-45ea-89f1-a44a9f5929e5
ft:geomorphic-glacial_landforms-eskers,Eskers,,"A long winding ridge of stratified sand and gravel, examples of which occur in glaciated and formerly glaciated regions of Europe and North America.",,ft:geomorphic-glacial_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/5e012809-98cf-468f-bdf7-7cea8569d3ab
ft:geomorphic-glacial_landforms-fjords,Fjords,,"Are formed when a glacier cuts a U-shaped valley by abrasion of the surrounding bedrock. Many such valleys were formed during the recent ice age. Glacial melting is accompanied by rebound of Earth's crust as the ice load and eroded sediment is removed (also called isostasy or glacial rebound).",,ft:geomorphic-glacial_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/6aed82cb-be90-4e58-ae33-14943ea555be
ft:geomorphic-glacial_landforms-glacial_horns,"Glacial horns",,"A sharp peak formed where the ridges separating three or more cirques intersect",,ft:geomorphic-glacial_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/5477fad4-789b-436d-a01e-610aa8efa592
ft:geomorphic-glacial_landforms-glacier-ice_caves,"Glacier/ice caves",,"Refers to any type of natural cave (most commonly lava tubes or limestone caves) that contains significant amounts of perennial (year-round) ice. At least a portion of the cave must have a temperature below 0 °C (32 °F) all year round, and water must have traveled into the cave’s cold zone.",,ft:geomorphic-glacial_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/93b60653-f7bb-46f3-8f65-69221267018c
ft:geomorphic-glacial_landforms-glacier-hanging-u-shaped_valleys,"Glacier/hanging/u-shaped valleys",,"The terms U-shaped and V-shaped are descriptive terms of geography to characterize the form of valleys. Most valleys belong to one of these two main types or a mixture of them, at least with respect of the cross section of the slopes or hillsides.",,ft:geomorphic-glacial_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/d23f75ed-29ea-4aa2-8785-fd3a3726bc33
ft:geomorphic-glacial_landforms-glacier_striations-grooves,"Glacier striations/grooves",,"Scratches or gouges cut into bedrock by process of glacial abrasion. Glacial striations usually occur as multiple straight, parallel grooves representing the movement of the sediment-loaded base of the glacier.",,ft:geomorphic-glacial_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/b2d3b8a4-4861-4c21-b875-97084b6e75aa
ft:geomorphic-glacial_landforms-ice-dammed_lakes,"Ice-dammed lakes",,"In geology, a proglacial lake is a lake formed either by the damming action of a moraine or ice dam during the retreat of a melting glacier, or by meltwater trapped against an ice sheet due to isostatic depression of the crust around the ice.",,ft:geomorphic-glacial_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/ee565a8c-72b9-44a4-b25d-efefd1a28d8d
ft:geomorphic-glacial_landforms-kames,Kames,,"A steep conical hill composed of glaciofluvial sediments. This feature develops when glacial crevasses and depressions in stagnant glacial ice are filled with sand and gravel deposits from sediment loaded meltwater.",,ft:geomorphic-glacial_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/89541868-0ea0-47c6-b81e-a0c4981f2d62
ft:geomorphic-glacial_landforms-kame_delta,"Kame delta",,"A glacial landform made by a stream flowing through glacial ice and depositing material upon entering a lake or pond at the end or terminus of the glacier, thus ""in front"" of it, a proglacial lake.",,ft:geomorphic-glacial_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/3f86db44-f853-4eb3-b4e3-4aaee481043a
ft:geomorphic-glacial_landforms-kettle_holes,"Kettle holes",,"A shallow, sediment-filled body of water formed by retreating glaciers or draining floodwaters.",,ft:geomorphic-glacial_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/6d3722bb-29c0-4fb6-90c3-3f3a144b9941
ft:geomorphic-glacial_landforms-moraines,Moraines,,"A glacially formed accumulation of unconsolidated glacial debris (soil and rock) which can occur in currently glaciated and formerly glaciated regions, such as those areas acted upon by a past ice age.",,ft:geomorphic-glacial_landforms,"ft:geomorphic-glacial_landforms-moraines-medial_moraine, ft:geomorphic-glacial_landforms-moraines-lateral_moraine, ft:geomorphic-glacial_landforms-moraines-recessional_moraine, ft:geomorphic-glacial_landforms-moraines-ribbed-rogan_moraine, ft:geomorphic-glacial_landforms-moraines-terminal_moraine",,https://gcmdservices.gsfc.nasa.gov/kms/concept/4f590d94-110c-4762-9171-aba6d24af6a0
ft:geomorphic-glacial_landforms-moraines-medial_moraine,"Medial moraine",,"A ridge of moraine that runs down the center of a valley floor. It is formed when two glaciers meet and the debris on the edges of the adjacent valley sides join and are carried on top of the enlarged glacier.",,ft:geomorphic-glacial_landforms-moraines,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/9d6c8fac-a5cd-4fbc-8283-1bc256c12a43
ft:geomorphic-glacial_landforms-moraines-lateral_moraine,"Lateral moraine",,"Parallel ridges of debris deposited along the sides of a glacier. The unconsolidated debris can be deposited on top of the glacier by frost shattering of the valley walls and from tributary streams flowing into the valley.",,ft:geomorphic-glacial_landforms-moraines,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/a4f0e7c2-711e-4675-b7c8-f5430905aa89
ft:geomorphic-glacial_landforms-moraines-recessional_moraine,"Recessional moraine",,"Are often observed as a series of transverse ridges running across a valley behind a terminal moraine. They form perpendicular to the lateral moraines that they reside between and are composed of unconsolidated debris deposited by the glacier. They are created during temporary halts in a glacier's retreat.",,ft:geomorphic-glacial_landforms-moraines,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/c4f0d15c-1f9b-40f3-b5d4-da1d6ebe6da8
ft:geomorphic-glacial_landforms-moraines-ribbed-rogan_moraine,"Ribbed/rogan moraine",,"Type of basal moraines that forms a series of ribs perpendicular to the ice flow in an ice sheet. The depressions between the ribs are sometimes filled with water making the Rogen moraines look like tigerstripes on aerial photographs.",,ft:geomorphic-glacial_landforms-moraines,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/a389919c-a6da-465e-b074-ea29b66a686b
ft:geomorphic-glacial_landforms-moraines-terminal_moraine,"Terminal moraine",,"End moraines, or terminal moraines, are ridges of unconsolidated debris deposited at the snout or end of the glacier. They usually reflect the shape of the glacier's terminus.  Glaciers act much like a conveyor belt, carrying debris from the top of the glacier to the bottom where it deposits it in end moraines.",,ft:geomorphic-glacial_landforms-moraines,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/7886c3eb-e86e-4a84-9f2f-e398ecc82b2d
ft:geomorphic-glacial_landforms-nunataks,Nunataks,,"An exposed, often rocky element of a ridge, mountain, or peak not covered with ice or snow within (or at the edge of) an ice field or glacier. The term is typically used in areas where a permanent ice sheet is present. Nunataks present readily identifiable landmark reference points in glaciers or ice caps and are often named.",,ft:geomorphic-glacial_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/3b8bdda1-2415-47ea-b4cf-c802fa44c496
ft:geomorphic-glacial_landforms-outwash_fans-plains,"Outwash fans/plains",,"An outwash fan is a fan-shaped body of sediments deposited by braided streams from a melting glacier. Sediment locked within the ice of the glacier, gets transported by the streams of meltwater, and deposits on the outwash plain, at the terminus of the glacier.",,ft:geomorphic-glacial_landforms,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/a8bfc8ad-42f2-43cc-b161-20058037bb95
